Sample 164: No. iterations = 512, Error = 0.00293459
Sample 165: No. iterations = 512, Error = 0.00194283
Sample 166: No. iterations = 512, Error = 0.00179768
Sample 167: No. iterations = 512, Error = 0.00250107
Sample 168: No. iterations = 512, Error = 0.00249461
Sample 169: No. iterations = 512, Error = 0.49991
Sample 170: No. iterations = 512, Error = 0.00166903
Sample 171: No. iterations = 512, Error = 0.00152011
Sample 172: No. iterations = 512, Error = 0.00193256
Sample 173: No. iterations = 512, Error = 0.00157585
Sample 174: No. iterations = 512, Error = 0.00412527
Sample 175: No. iterations = 512, Error = 0.00267299
Sample 176: No. iterations = 512, Error = 0.00246077
Sample 177: No. iterations = 512, Error = 0.00177407
Sample 178: No. iterations = 512, Error = 0.00288771
Sample 179: No. iterations = 512, Error = 0.00348732
Sample 180: No. iterations = 512, Error = 0.00202361
Sample 181: No. iterations = 512, Error = 0.00273929
Sample 182: No. iterations = 512, Error = 0.00181117
Sample 183: No. iterations = 512, Error = 0.50143
Sample 184: No. iterations = 266, Error = 0.000998244
Sample 185: No. iterations = 512, Error = 0.00288554
Sample 186: No. iterations = 512, Error = 0.00155881
Sample 187: No. iterations = 512, Error = 0.00187263
Sample 188: No. iterations = 512, Error = 0.00216951
Sample 189: No. iterations = 512, Error = 0.00236601
Sample 190: No. iterations = 512, Error = 0.00194995
Sample 191: No. iterations = 512, Error = 0.00233625
Sample 192: No. iterations = 512, Error = 0.00267647
Sample 193: No. iterations = 512, Error = 0.00162634
Sample 194: No. iterations = 512, Error = 0.00203184
Sample 195: No. iterations = 512, Error = 0.00225442
Sample 196: No. iterations = 512, Error = 0.002757
Sample 197: No. iterations = 512, Error = 0.00264307
Sample 198: No. iterations = 512, Error = 0.00255152
Sample 199: No. iterations = 512, Error = 0.00227225
Sample 200: No. iterations = 512, Error = 0.00216324
Sample 201: No. iterations = 512, Error = 0.0031423
Sample 202: No. iterations = 512, Error = 0.00345956
Sample 203: No. iterations = 512, Error = 0.00361543
Sample 204: No. iterations = 512, Error = 0.00187365
Sample 205: No. iterations = 512, Error = 0.00340127
Sample 206: No. iterations = 512, Error = 0.00270509
Sample 207: No. iterations = 512, Error = 0.00199985
Sample 208: No. iterations = 512, Error = 0.00222086
Sample 209: No. iterations = 512, Error = 0.00133861
Sample 210: No. iterations = 512, Error = 0.00148931
Sample 211: No. iterations = 480, Error = 0.000998693
Sample 212: No. iterations = 1, Error = 0.000538727
Sample 213: No. iterations = 512, Error = 0.00253007
Sample 214: No. iterations = 512, Error = 0.00217758
Sample 215: No. iterations = 512, Error = 0.00159522
Sample 216: No. iterations = 512, Error = 0.00194075
Sample 217: No. iterations = 512, Error = 0.00227582
Sample 218: No. iterations = 512, Error = 0.00207927
Sample 219: No. iterations = 512, Error = 0.00176408
Sample 220: No. iterations = 512, Error = 0.00521628
Sample 221: No. iterations = 512, Error = 0.00270857
Sample 222: No. iterations = 512, Error = 0.00179562
Sample 223: No. iterations = 512, Error = 0.00247768
Sample 224: No. iterations = 512, Error = 0.00259132
Sample 225: No. iterations = 512, Error = 0.00211004
Sample 226: No. iterations = 512, Error = 0.00328905
Sample 227: No. iterations = 512, Error = 0.0038129
Sample 228: No. iterations = 512, Error = 0.00243655
Sample 229: No. iterations = 512, Error = 0.00259575
Sample 230: No. iterations = 512, Error = 0.00138808
Sample 231: No. iterations = 512, Error = 0.00210054
Sample 232: No. iterations = 512, Error = 0.00169145
Sample 233: No. iterations = 512, Error = 0.00224535
Sample 234: No. iterations = 512, Error = 0.00370431
Sample 235: No. iterations = 512, Error = 0.00133405
Sample 236: No. iterations = 512, Error = 0.00285425
Sample 237: No. iterations = 512, Error = 0.00368502
Sample 238: No. iterations = 512, Error = 0.00272523
Sample 239: No. iterations = 512, Error = 0.00175045
Sample 240: No. iterations = 512, Error = 0.00176143
Sample 241: No. iterations = 512, Error = 0.00378324
Sample 242: No. iterations = 512, Error = 0.00255566
Sample 243: No. iterations = 512, Error = 0.00263471
